scale,k,H_k,h_k,H_k_iid,redundancy,n_distinct,n_samples
10000,1,4.035069,4.035069,4.035069,0.000000,62,199999
10000,2,7.727184,3.692115,8.070138,0.342954,1146,199998
10000,3,11.183821,3.456637,12.105207,0.921386,9832,199997
10000,4,14.218091,3.034270,16.140276,1.922185,45195,199996
10000,5,16.342667,2.124576,20.175345,3.832678,114166,199995
10000,6,17.303990,0.961323,24.210414,6.906424,173220,199994
10000,7,17.556416,0.252426,28.245483,10.689067,194851,199993
10000,8,17.601302,0.044886,32.280552,14.679250,199170,199992
10000,9,17.608205,0.006903,36.315621,18.707415,199854,199991
10000,10,17.609308,0.001103,40.350690,22.741382,199964,199990
100000,1,4.053463,4.053463,4.053463,0.000000,62,199999
100000,2,7.765158,3.711695,8.106926,0.341768,1156,199998
100000,3,11.240501,3.475343,12.160389,0.919888,10026,199997
100000,4,14.286071,3.045570,16.213852,1.927781,46285,199996
100000,5,16.399237,2.113166,20.267314,3.868078,116626,199995
100000,6,17.329397,0.930160,24.320777,6.991381,175167,199994
100000,7,17.562999,0.233603,28.374240,10.811241,195464,199993
100000,8,17.602600,0.039600,32.427703,14.825104,199299,199992
100000,9,17.608606,0.006006,36.481166,18.872561,199894,199991
100000,10,17.609388,0.000783,40.534629,22.925241,199972,199990
1000000,1,4.127729,4.127729,4.127729,0.000000,64,199999
1000000,2,7.916210,3.788481,8.255458,0.339248,1256,199998
1000000,3,11.461564,3.545353,12.383187,0.921623,11165,199997
1000000,4,14.538036,3.076472,16.510916,1.972880,51426,199996
1000000,5,16.584329,2.046294,20.638644,4.054315,125893,199995
1000000,6,17.399345,0.815015,24.766373,7.367029,180840,199994
1000000,7,17.578245,0.178900,28.894102,11.315858,196922,199993
1000000,8,17.605141,0.026897,33.021831,15.416690,199549,199992
1000000,9,17.608976,0.003834,37.149560,19.540585,199931,199991
1000000,10,17.609478,0.000503,41.277289,23.667811,199981,199990
10000000,1,4.288536,4.288536,4.288536,0.000000,73,199999
10000000,2,8.243247,3.954711,8.577072,0.333825,1493,199998
10000000,3,11.939553,3.696306,12.865608,0.926055,14015,199997
10000000,4,15.057023,3.117470,17.154144,2.097120,64062,199996
10000000,5,16.914074,1.857051,21.442680,4.528605,145021,199995
10000000,6,17.497422,0.583347,25.731216,8.233794,189342,199994
10000000,7,17.595051,0.097629,30.019751,12.424700,198554,199993
10000000,8,17.607635,0.012584,34.308287,16.700652,199798,199992
10000000,9,17.609376,0.001740,38.596823,20.987448,199971,199991
10000000,10,17.609558,0.000183,42.885359,25.275801,199989,199990
100000000,1,4.481487,4.481487,4.481487,0.000000,80,199999
100000000,2,8.634340,4.152854,8.962974,0.328633,1879,199998
100000000,3,12.498868,3.864528,13.444460,0.945592,18671,199997
100000000,4,15.607474,3.108606,17.925947,2.318473,81651,199996
100000000,5,17.186439,1.578964,22.407434,5.220995,163726,199995
100000000,6,17.556716,0.370277,26.888921,9.332205,194835,199994
100000000,7,17.603962,0.047246,31.370408,13.766446,199431,199993
100000000,8,17.608953,0.004991,35.851895,18.242942,199929,199992
100000000,9,17.609526,0.000573,40.333381,22.723856,199986,199991
100000000,10,17.609568,0.000043,44.814868,27.205300,199990,199990
