scale,residue_class,k,H_k,n_gaps,pct_of_total
10000,1_mod_6,1,3.449403,99944,49.972250
10000,1_mod_6,2,6.882340,99944,49.972250
10000,1_mod_6,3,10.248854,99944,49.972250
10000,1_mod_6,4,13.297082,99944,49.972250
10000,1_mod_6,5,15.445292,99944,49.972250
10000,5_mod_6,1,3.469989,100055,50.027750
10000,5_mod_6,2,6.923819,100055,50.027750
10000,5_mod_6,3,10.312280,100055,50.027750
10000,5_mod_6,4,13.379246,100055,50.027750
10000,5_mod_6,5,15.519893,100055,50.027750
10000,all,1,4.035069,199999,100.000000
10000,all,2,7.727184,199999,100.000000
10000,all,3,11.183821,199999,100.000000
10000,all,4,14.218091,199999,100.000000
10000,all,5,16.342667,199999,100.000000
10000,prev_gap_0_mod_6,1,4.035604,84936,42.468212
10000,prev_gap_2_mod_6,1,3.471327,57531,28.765644
10000,prev_gap_4_mod_6,1,3.476620,57531,28.765644
100000,1_mod_6,1,3.468754,99920,49.960250
100000,1_mod_6,2,6.920745,99920,49.960250
100000,1_mod_6,3,10.305387,99920,49.960250
100000,1_mod_6,4,13.363097,99920,49.960250
100000,1_mod_6,5,15.498341,99920,49.960250
100000,5_mod_6,1,3.489890,100079,50.039750
100000,5_mod_6,2,6.963585,100079,50.039750
100000,5_mod_6,3,10.370880,100079,50.039750
100000,5_mod_6,4,13.447976,100079,50.039750
100000,5_mod_6,5,15.572982,100079,50.039750
100000,all,1,4.053463,199999,100.000000
100000,all,2,7.765158,199999,100.000000
100000,all,3,11.240501,199999,100.000000
100000,all,4,14.286071,199999,100.000000
100000,all,5,16.399237,199999,100.000000
100000,prev_gap_0_mod_6,1,4.053273,85183,42.591713
100000,prev_gap_2_mod_6,1,3.490424,57407,28.703644
100000,prev_gap_4_mod_6,1,3.497464,57408,28.704144
1000000,1_mod_6,1,3.544985,99916,49.958250
1000000,1_mod_6,2,7.072853,99916,49.958250
1000000,1_mod_6,3,10.526846,99916,49.958250
1000000,1_mod_6,4,13.611141,99916,49.958250
1000000,1_mod_6,5,15.670655,99916,49.958250
1000000,5_mod_6,1,3.569316,100083,50.041750
1000000,5_mod_6,2,7.121559,100083,50.041750
1000000,5_mod_6,3,10.600476,100083,50.041750
1000000,5_mod_6,4,13.700359,100083,50.041750
1000000,5_mod_6,5,15.741962,100083,50.041750
1000000,all,1,4.127729,199999,100.000000
1000000,all,2,7.916210,199999,100.000000
1000000,all,3,11.461564,199999,100.000000
1000000,all,4,14.538036,199999,100.000000
1000000,all,5,16.584329,199999,100.000000
1000000,prev_gap_0_mod_6,1,4.132921,85900,42.950215
1000000,prev_gap_2_mod_6,1,3.561041,57049,28.524643
1000000,prev_gap_4_mod_6,1,3.574964,57049,28.524643
10000000,1_mod_6,1,3.705904,99940,49.970250
10000000,1_mod_6,2,7.393377,99940,49.970250
10000000,1_mod_6,3,10.989924,99940,49.970250
10000000,1_mod_6,4,14.106778,99940,49.970250
10000000,1_mod_6,5,15.966752,99940,49.970250
10000000,5_mod_6,1,3.742440,100059,50.029750
10000000,5_mod_6,2,7.467522,100059,50.029750
10000000,5_mod_6,3,11.096806,100059,50.029750
10000000,5_mod_6,4,14.222532,100059,50.029750
10000000,5_mod_6,5,16.041352,100059,50.029750
10000000,all,1,4.288536,199999,100.000000
10000000,all,2,8.243247,199999,100.000000
10000000,all,3,11.939553,199999,100.000000
10000000,all,4,15.057023,199999,100.000000
10000000,all,5,16.914074,199999,100.000000
10000000,prev_gap_0_mod_6,1,4.289798,87149,43.574718
10000000,prev_gap_2_mod_6,1,3.720464,56425,28.212641
10000000,prev_gap_4_mod_6,1,3.752649,56424,28.212141
100000000,1_mod_6,1,3.909455,99925,49.962750
100000000,1_mod_6,2,7.799407,99925,49.962750
100000000,1_mod_6,3,11.560597,99925,49.962750
100000000,1_mod_6,4,14.656626,99925,49.962750
100000000,1_mod_6,5,16.222054,99925,49.962750
100000000,5_mod_6,1,3.939900,100074,50.037250
100000000,5_mod_6,2,7.860441,100074,50.037250
100000000,5_mod_6,3,11.651302,100074,50.037250
100000000,5_mod_6,4,14.749937,100074,50.037250
100000000,5_mod_6,5,16.262425,100074,50.037250
100000000,all,1,4.481487,199999,100.000000
100000000,all,2,8.634340,199999,100.000000
100000000,all,3,12.498868,199999,100.000000
100000000,all,4,15.607474,199999,100.000000
100000000,all,5,17.186439,199999,100.000000
100000000,prev_gap_0_mod_6,1,4.486076,88652,44.326222
100000000,prev_gap_2_mod_6,1,3.924693,55673,27.836639
100000000,prev_gap_4_mod_6,1,3.941621,55673,27.836639
